file,entity_type,original_count,matched_count,recall
26725330,CleavageAgent,1,1,1.0
26725330,Label,5,5,1.0
26725330,SampleTreatment,6,6,1.0
26725330,AnatomicSiteTumor,1,1,1.0
26725330,EnrichmentMethod,1,1,1.0
26725330,TumorGrade,1,1,1.0
26725330,CollisionEnergy,1,1,1.0
26725330,FractionationMethod,1,1,1.0
26725330,FragmentationMethod,1,1,1.0
26725330,ReductionReagent,1,1,1.0
26725330,Modification,2,2,1.0
26725330,Organism,1,1,1.0
26725330,Disease,3,3,1.0
26725330,Instrument,1,1,1.0
26725330,AlkylationReagent,1,1,1.0
26725330,MS2MassAnalyzer,1,1,1.0
26725330,FactorValue,3,3,1.0
26725330,TechnicalReplicate,1,1,1.0
26725330,Separation,2,2,1.0
26725330,AssayName,4,4,1.0
26725330,MaterialType,3,3,1.0
26725330,CellLine,5,5,1.0
26725330,TumorStage,1,1,1.0
26725330,IonizationType,1,1,1.0
26725330,NumberOfFractions,1,1,1.0
31699904,AcquisitionMethod,4,4,1.0
31699904,CleavageAgent,1,1,1.0
31699904,Label,6,5,0.8333333333333334
31699904,SampleTreatment,10,5,0.5
31699904,SpikedCompound,3,3,1.0
31699904,PrecursorMassTolerance,1,1,1.0
31699904,NumberOfSamples,2,2,1.0
31699904,EnrichmentMethod,1,1,1.0
31699904,CollisionEnergy,2,1,0.5
31699904,FractionationMethod,2,2,1.0
31699904,NumberOfMissedCleavages,1,1,1.0
31699904,FragmentationMethod,1,0,0.0
31699904,ReductionReagent,1,1,1.0
31699904,GradientTime,1,1,1.0
31699904,Modification,4,3,0.75
31699904,Organism,6,6,1.0
31699904,AlkylationReagent,1,1,1.0
31699904,Instrument,1,1,1.0
31699904,MS2MassAnalyzer,1,0,0.0
31699904,FactorValue,3,3,1.0
31699904,SyntheticPeptide,1,1,1.0
31699904,Strain,1,1,1.0
31699904,Separation,4,0,0.0
31699904,FragmentMassTolerance,1,1,1.0
31699904,TechnicalReplicate,1,1,1.0
31699904,AssayName,7,7,1.0
31699904,MaterialType,3,3,1.0
31699904,OrganismPart,2,2,1.0
31699904,IonizationType,1,1,1.0
31699904,NumberOfFractions,2,1,0.5
31699904,NumberOfTechnicalReplicates,1,1,1.0
31699904,Compound,2,2,1.0
31699904,PooledSample,1,1,1.0
33630598,FlowRateChromatogram,1,1,1.0
33630598,AcquisitionMethod,1,1,1.0
33630598,CleavageAgent,2,2,1.0
33630598,Label,2,1,0.5
33630598,SampleTreatment,17,15,0.8823529411764706
33630598,PrecursorMassTolerance,1,1,1.0
33630598,EnrichmentMethod,1,1,1.0
33630598,CollisionEnergy,1,0,0.0
33630598,FractionationMethod,1,1,1.0
33630598,FragmentationMethod,2,1,0.5
33630598,ReductionReagent,1,1,1.0
33630598,GradientTime,1,1,1.0
33630598,Modification,3,3,1.0
33630598,Organism,1,1,1.0
33630598,AlkylationReagent,1,1,1.0
33630598,Instrument,1,1,1.0
33630598,MS2MassAnalyzer,2,2,1.0
33630598,FactorValue,1,0,0.0
33630598,Strain,1,1,1.0
33630598,Separation,1,1,1.0
33630598,FragmentMassTolerance,1,1,1.0
33630598,TechnicalReplicate,1,1,1.0
33630598,AssayName,2,2,1.0
33630598,MaterialType,2,2,1.0
33630598,IonizationType,1,0,0.0
33630598,NumberOfFractions,1,1,1.0
26076430,FlowRateChromatogram,1,1,1.0
26076430,CleavageAgent,2,2,1.0
26076430,Label,13,13,1.0
26076430,SampleTreatment,2,2,1.0
26076430,PrecursorMassTolerance,2,2,1.0
26076430,EnrichmentMethod,1,1,1.0
26076430,SourceName,2,2,1.0
26076430,CollisionEnergy,2,2,1.0
26076430,NumberOfMissedCleavages,1,1,1.0
26076430,FractionationMethod,1,1,1.0
26076430,FragmentationMethod,1,1,1.0
26076430,ReductionReagent,1,1,1.0
26076430,GradientTime,1,1,1.0
26076430,Modification,16,16,1.0
26076430,Organism,2,2,1.0
26076430,AlkylationReagent,1,1,1.0
26076430,Instrument,2,2,1.0
26076430,MS2MassAnalyzer,1,1,1.0
26076430,FactorValue,2,1,0.5
26076430,Strain,1,1,1.0
26076430,Separation,2,1,0.5
26076430,FragmentMassTolerance,1,1,1.0
26076430,TechnicalReplicate,1,1,1.0
26076430,AssayName,2,2,1.0
26076430,OrganismPart,1,1,1.0
26076430,MaterialType,2,2,1.0
26076430,CellLine,1,1,1.0
26076430,IonizationType,1,1,1.0
26076430,NumberOfFractions,1,1,1.0
26076430,FractionIdentifier,1,1,1.0
37681923,FlowRateChromatogram,2,2,1.0
37681923,AcquisitionMethod,2,2,1.0
37681923,CleavageAgent,1,1,1.0
37681923,Age,1,1,1.0
37681923,Label,2,1,0.5
37681923,SampleTreatment,10,8,0.8
37681923,PrecursorMassTolerance,2,2,1.0
37681923,NumberOfSamples,3,3,1.0
37681923,CollisionEnergy,1,1,1.0
37681923,NumberOfMissedCleavages,1,1,1.0
37681923,FragmentationMethod,1,1,1.0
37681923,ReductionReagent,1,1,1.0
37681923,Modification,1,0,0.0
37681923,Organism,1,1,1.0
37681923,Disease,1,1,1.0
37681923,Instrument,1,1,1.0
