,PXD,pubmed_id
0,PXD058465,0
1,PXD057299,39747972
2,PXD057299,39747972
3,PXD057299,39747972
4,PXD056255,0
5,PXD055781,0
6,PXD055766,0
7,PXD055488,0
8,PXD055168,0
9,PXD055168,0
10,PXD054415,39345414
11,PXD054394,39209842
12,PXD054394,39209842
13,PXD053930,39200520
14,PXD053783,0
15,PXD053783,0
16,PXD053783,0
17,PXD053438,39117622
18,PXD053237,0
19,PXD053214,0
20,PXD053196,0
21,PXD053131,0
22,PXD053128,39193502
23,PXD053128,39193502
24,PXD053042,0
25,PXD053008,0
26,PXD052831,0
27,PXD052706,0
28,PXD052706,0
29,PXD052258,0
30,PXD052258,0
31,PXD051991,0
32,PXD051962,0
33,PXD051952,38947246
34,PXD051943,0
35,PXD051889,0
36,PXD051459,38685100
37,PXD051408,0
38,PXD051376,0
39,PXD051103,0
40,PXD051103,0
41,PXD050916,38636661
42,PXD050812,38956386
43,PXD050661,0
44,PXD050316,0
45,PXD050222,0
46,PXD050212,38715938
47,PXD050202,0
48,PXD050173,0
49,PXD050008,38676925
50,PXD050008,38676925
51,PXD050008,38676925
52,PXD049436,38514628
53,PXD049436,38514628
54,PXD049436,38514628
55,PXD049174,38821050
56,PXD049062,0
57,PXD049054,0
58,PXD049016,38555405
59,PXD049014,38555405
60,PXD048928,38785179
61,PXD048840,38390966
62,PXD048839,38390966
63,PXD048836,38390966
64,PXD048836,38390966
65,PXD048836,38390966
66,PXD048568,39277864
67,PXD048514,0
68,PXD048381,38832927
69,PXD048381,38832927
70,PXD048344,0
71,PXD048340,0
72,PXD048340,0
73,PXD048079,38558215
74,PXD047908,38415248
75,PXD047901,39159935
76,PXD047854,0
77,PXD047839,0
78,PXD047824,0
79,PXD047766,38253038
80,PXD047715,0
81,PXD047711,0
82,PXD047711,0
83,PXD047623,39234310
84,PXD047620,39369245
85,PXD047619,0
86,PXD047617,0
87,PXD047534,38536665
88,PXD047534,38536665
89,PXD047378,38130664
90,PXD047378,38130664
91,PXD047378,38130664
92,PXD047378,38130664
93,PXD047378,38130664
94,PXD047378,38130664
95,PXD047378,38130664
96,PXD047378,38130664
97,PXD046591,38367664
98,PXD046591,38367664
99,PXD046543,0
100,PXD046535,0
101,PXD046535,0
102,PXD046417,0
103,PXD046387,0
104,PXD046386,0
105,PXD046372,0
106,PXD046288,38363107
107,PXD046286,0
108,PXD046268,0
109,PXD046211,0
110,PXD046211,0
111,PXD046098,21081695
112,PXD046098,21081695
113,PXD045733,39068198
114,PXD045733,39068198
115,PXD045527,38667364
116,PXD045353,0
117,PXD045331,21081695
118,PXD045279,38047073
119,PXD045279,38047073
120,PXD045212,39481378
121,PXD045038,39143125
122,PXD044798,0
123,PXD044432,37834386
124,PXD044432,37834386
125,PXD044370,0
126,PXD044303,20089766
127,PXD044301,0
128,PXD044191,0
129,PXD044188,37778379
130,PXD044107,38185415
131,PXD044107,38185415
132,PXD043497,38698559
133,PXD043476,38154689
134,PXD043300,0
135,PXD043297,0
136,PXD043243,0
137,PXD043108,0
138,PXD042990,37439347
139,PXD042946,38063474
140,PXD042917,0
141,PXD042917,0
142,PXD042828,37266577
143,PXD042828,37266577
144,PXD042423,0
145,PXD042405,0
146,PXD042336,37280269
147,PXD042251,38555405
148,PXD042233,0
149,PXD041955,0
150,PXD041899,0
151,PXD041759,0
152,PXD041747,37374181
153,PXD041681,37681923
154,PXD041587,38662832
155,PXD041463,0
156,PXD041415,0
157,PXD041354,38154691
158,PXD041327,0
159,PXD041310,0
160,PXD041308,0
161,PXD041243,0
162,PXD041221,0
163,PXD041174,37047404
164,PXD041036,0
165,PXD040773,37253964
166,PXD040773,37253964
167,PXD040773,37253964
168,PXD040462,0
169,PXD040358,0
170,PXD040358,0
171,PXD040279,0
172,PXD040248,36983784
173,PXD040247,0
174,PXD040190,0
175,PXD040176,37207340
176,PXD040147,37293069
177,PXD039927,0
178,PXD039898,37328468
179,PXD039882,0
180,PXD039829,36982475
181,PXD016336,37774976
182,PXD039755,36980356
183,PXD039665,36773646
184,PXD039585,0
185,PXD039582,0
186,PXD039582,0
187,PXD039582,0
188,PXD039574,37854702
189,PXD039410,37611092
190,PXD039410,37611092
191,PXD038901,0
192,PXD038835,36940913
193,PXD038809,37093976
194,PXD038809,37093976
195,PXD038809,37093976
196,PXD038703,36604600
197,PXD038703,36604600
198,PXD038367,37301900
199,PXD038367,37301900
200,PXD037997,0
201,PXD037850,0
202,PXD037817,0
203,PXD037654,36674559
204,PXD037650,36979426
205,PXD037413,36212541
206,PXD037413,36212541
207,PXD037413,36212541
208,PXD036847,37330510
209,PXD036832,37330510
210,PXD036832,37330510
211,PXD036832,37330510
212,PXD036392,36499720
213,PXD036295,0
214,PXD036295,0
215,PXD036036,37063823
216,PXD035953,36426076
217,PXD035918,36653852
218,PXD035909,0
219,PXD035795,0
220,PXD035795,0
221,PXD035795,0
222,PXD035104,0
223,PXD035035,0
224,PXD034803,0
225,PXD034803,0
226,PXD034604,0
227,PXD034588,0
228,PXD034537,0
229,PXD034438,0
230,PXD034438,0
231,PXD034438,0
232,PXD033891,0
233,PXD033891,0
234,PXD033868,0
235,PXD033868,0
236,PXD033042,35709300
237,PXD032904,0
238,PXD032791,0
239,PXD032788,35677457
240,PXD032691,0
241,PXD032098,36097293
242,PXD031991,35680998
243,PXD031922,0
244,PXD031922,0
245,PXD031455,36089606
246,PXD031188,36317652
247,PXD031026,35425721
248,PXD031000,36525778
249,PXD030803,0
250,PXD030803,0
251,PXD030577,36269744
252,PXD030487,3970414
253,PXD030463,30245083
254,PXD030448,35963242
255,PXD030448,35963242
256,PXD030403,35037038
257,PXD030403,35037038
258,PXD029966,35236989
259,PXD029913,0
260,PXD029852,0
261,PXD029852,0
262,PXD029422,37094092
263,PXD029422,37094092
264,PXD029422,37094092
265,PXD029341,35852874
266,PXD029341,35852874
267,PXD028554,35402076
268,PXD028435,36741463
269,PXD027872,36220102
270,PXD027872,36220102
271,PXD027791,36702456
272,PXD027791,36702456
273,PXD027141,34962809
274,PXD027102,34572998
275,PXD027068,34416233
276,PXD027068,34416233
277,PXD026587,34576262
278,PXD026587,34576262
279,PXD026587,34576262
280,PXD026287,35236848
281,PXD025848,0
282,PXD026203,36240066
283,PXD026121,36292738
284,PXD026079,35131898
285,PXD025729,34604665
286,PXD025663,34128081
287,PXD025663,34128081
288,PXD025284,34077720
289,PXD025278,34077720
290,PXD025274,34077720
291,PXD025262,34077720
292,PXD025223,34360674
293,PXD025194,34077720
294,PXD024905,34762820
295,PXD024819,34723797
296,PXD024819,34723797
297,PXD024819,34723797
298,PXD023801,33918763
299,PXD023801,33918763
300,PXD023388,34383828
301,PXD023222,38596707
302,PXD023222,38596707
303,PXD023222,38596707
304,PXD023222,38596707
