,PXD,pubmed_id
0,PXD002222,26112675
1,PXD003452,26651926
2,PXD004683,28195392
3,PXD001061,25218447
4,PXD010271,30300549
5,PXD015093,32817103
6,PXD000612,25159151
7,PXD019185,35121989
8,PXD002088,25043054
9,PXD010595,31133760
10,PXD010429,31395880
11,PXD003469,28607076
12,PXD001684,25886026
13,PXD001774,26035336
14,PXD000312,24224561
15,PXD000312,24224561
16,PXD006877,32561711
17,PXD003209,27068479
18,PXD006401,29527141
19,PXD006401,29527141
20,PXD006401,29527141
21,PXD003515,26651926
22,PXD000923,25074045
23,PXD004242,28007936
24,PXD013923,31350469
25,PXD001474,25807371
26,PXD008012,30158526
27,PXD002266,26149123
28,PXD002029,26937473
29,PXD005539,28424693
30,PXD017291,33022891
31,PXD011799,31519915
32,PXD006233,28865468
33,PXD001168,25316064
34,PXD002395,22278370
35,PXD002395,22278370
36,PXD013737,31185456
37,PXD014565,31814417
38,PXD014565,31814417
39,PXD020187,32785189
40,PXD004159,26651926
41,PXD005554,28675934
42,PXD012986,31699904
43,PXD006132,28364001
44,PXD006003,31495571
45,PXD014528,32238817
46,PXD002870,26977904
47,PXD004613,28091603
48,PXD004682,28195392
49,PXD008934,29892068
50,PXD016837,32195252
51,PXD000895,26760575
52,PXD013868,32188942
53,PXD002080,25043054
54,PXD017035,31816881
55,PXD017035,31816881
56,PXD011050,32561711
57,PXD002756,26360816
58,PXD005940,23933261
59,PXD023707,34866441
60,PXD018357,32877642
61,PXD005780,28709472
62,PXD009157,30794532
63,PXD006675,29133944
64,PXD017710,32408336
65,PXD023650,33596053
66,PXD012307,30814501
67,PXD003615,26651926
68,PXD010357,31395880
69,PXD007555,30496192
70,PXD007160,29533394
71,PXD005946,23933261
72,PXD007073,30594554
73,PXD000561,24669763
74,PXD008722,32291283
75,PXD011175,30532160
76,PXD000793,25938255
77,PXD019291,33658224
78,PXD001404,25338131
79,PXD010981,27990823
80,PXD020192,33107741
81,PXD001468,26076430
82,PXD001487,26801919
83,PXD004436,28373295
84,PXD012593,31155234
85,PXD013765,31892524
86,PXD009815,32096818
87,PXD012143,31075098
88,PXD007662,29619825
89,PXD003531,28355574
90,PXD004705,28439285
91,PXD002370,26572953
92,PXD002082,25043054
93,PXD006482,28857561
94,PXD009465,29678115
95,PXD000999,25100859
96,PXD000228,24776597
97,PXD013523,31484429
98,PXD013523,31484429
99,PXD010371,31009805
100,PXD004732,28135259
101,PXD004732,28135259
102,PXD013753,31862015
103,PXD002171,26626371
104,PXD001558,26861043
105,PXD006914,29158163
106,PXD002255,26144840
107,PXD011153,30728824
108,PXD000857,25316064
109,PXD001224,25515538
110,PXD002087,25043054
111,PXD006542,29358339
112,PXD008840,29739932
113,PXD010698,30207155
114,PXD010708,30207155
115,PXD008440,29681787
116,PXD001819,26862574
117,PXD012243,30798302
118,PXD014458,31316139
119,PXD005942,23933261
120,PXD004939,28054942
121,PXD012923,31077268
122,PXD003636,26651926
123,PXD004684,28195392
124,PXD002086,25043054
125,PXD002086,25043054
126,PXD002081,25043054
127,PXD002049,26110064
128,PXD010154,30777892
129,PXD000534,25034945
130,PXD000759,25068997
131,PXD019123,32694149
132,PXD017201,32457125
133,PXD017201,32457125
134,PXD014145,32095117
135,PXD011839,30824564
136,PXD009602,29789417
137,PXD000548,24274931
138,PXD015957,32060274
139,PXD009203,30770125
140,PXD000070,24657495
141,PXD004624,27879288
142,PXD006607,30205043
143,PXD004612,28071813
144,PXD010705,30207155
145,PXD000815,27135363
146,PXD002815,26496610
147,PXD005463,28819139
148,PXD014058,31773964
149,PXD002192,26081835
150,PXD010603,30735395
151,PXD018594,32619390
152,PXD004143,28691493
153,PXD001736,25755297
154,PXD019113,32645325
155,PXD003028,27102203
156,PXD005445,29184206
157,PXD012131,30735395
158,PXD003133,26653327
159,PXD003668,27561551
160,PXD001725,25874936
161,PXD051889,0
162,PXD000651,25038066
163,PXD009630,30914758
164,PXD005207,28680058
165,PXD016002,31924735
166,PXD018117,32511329
167,PXD018117,32511329
168,PXD000652,25038066
169,PXD004332,27714013
170,PXD008355,30833711
171,PXD021874,34138841
172,PXD000790,25938255
173,PXD005507,28338141
174,PXD008222,28843283
175,PXD009623,30207155
176,PXD011967,31642809
177,PXD001325,25238572
178,PXD012431,31294064
179,PXD004452,28601559
180,PXD018678,32487995
181,PXD000547,24274931
182,PXD000396,24920484
183,PXD000396,24920484
184,PXD018830,33855848
185,PXD013234,31064135
186,PXD006195,30692974
187,PXD005355,29101300
188,PXD012764,31424513
189,PXD003430,26651926
190,PXD004987,27841354
191,PXD005819,30571610
192,PXD012755,31511657
193,PXD001381,25405705
194,PXD005354,29101300
195,PXD012255,30624053
196,PXD006430,28915803
197,PXD003977,28164708
198,PXD012203,30691479
199,PXD014557,31699905
200,PXD000527,24824475
201,PXD004132,26651926
202,PXD002084,25043054
203,PXD000792,25938255
204,PXD015744,32860207
205,PXD003539,31733513
206,PXD003539,31733513
207,PXD012277,30833792
208,PXD015833,32284562
209,PXD005366,28107008
210,PXD005241,28382632
